artist_name,count
The Used,28680
Neurosis,28671
Morphine,28645
Archive,28581
Avantasia,28580
Kalafina,28578
Russian Circles,28578
Daughter,28578
Tomáš Dvořák,28568
Iggy Pop,28551
Lamb,28533
Elvis Costello,28403
Noisia,28360
Cat Stevens,28338
Descendents,28291
Him,28257
Joanna Newsom,28206
Symphony X,28202
Alicia Keys,28186
Die Antwoord,28174
Frank Turner,28141
The Orb,28088
MF DOOM,28068
Klaus Badelt,28064
Guided by Voices,28053
Accept,28040
Bauhaus,27992
Underoath,27972
...And You Will Know Us by the Trail of Dead,27964
Funeral for a Friend,27850
Juno Reactor,27817
Damien Rice,27789
New Found Glory,27769
Pulp,27733
Taking Back Sunday,27636
Tove Lo,27615
Swallow the Sun,27601
坂本真綾,27582
Eagles of Death Metal,27554
Nicholas Hooper,27547
Cult of Luna,27526
Sheryl Crow,27486
SHINee,27484
Black Label Society,27453
Janelle Monáe,27380
nano.RIPE,27360
Justin Bieber,27356
Die Ärzte,27355
Yeasayer,27254
ATB,27245
Goo Goo Dolls,27231
La Roux,27144
Lindsey Stirling,27063
Spock's Beard,27059
宇多田ヒカル,27057
Camera Obscura,27035
fun.,27033
Diablo Swing Orchestra,27004
Aimer,26983
鷺巣詩郎,26962
Soulfly,26923
Santigold,26905
Empire of the Sun,26896
Wiz Khalifa,26856
Phantogram,26835
Sleigh Bells,26822
OK Go,26812
Echo & the Bunnymen,26781
The Brian Jonestown Massacre,26780
Poets of the Fall,26766
Low,26746
Travis,26736
Clark,26728
Blue Sky Black Death,26709
Minus the Bear,26703
The Chainsmokers,26679
Snoop Dogg,26638
Alan Silvestri,26598
One Direction,26581
Toro y Moi,26559
Tangerine Dream,26539
John Frusciante,26469
Savant,26469
ScHoolboy Q,26453
Scooter,26397
Hüsker Dü,26392
Washed Out,26247
Michael Giacchino,26232
George Michael,26175
Protest the Hero,26155
Dashboard Confessional,26152
Blonde Redhead,26134
4minute,26106
Gogol Bordello,26086
Louis Armstrong,26079
Supergrass,26071
Journey,25999
Perturbator,25995
Nelly Furtado,25958
Earl Sweatshirt,25946
The Go! Team,25943
Klaxons,25931
Neon Indian,25853
The Books,25838
Bibio,25830
TesseracT,25827
Alestorm,25798
IAMX,25771
The All-American Rejects,25764
Thomas Newman,25751
Gnarls Barkley,25651
Less Than Jake,25598
Robbie Williams,25596
KOTOKO,25581
James Brown,25529
As I Lay Dying,25519
HAIM,25434
Silverchair,25398
Clean Bandit,25357
Ben Folds Five,25352
Ella Fitzgerald,25338
Macklemore & Ryan Lewis,25292
Jesper Kyd,25255
Woven Hand,25249
Millencolin,25248
The Lumineers,25243
Selena Gomez,25205
The Script,25178
Manu Chao,25175
Scissor Sisters,25171
Primal Scream,25171
London Grammar,25153
The Pillows,25126
Gonzales,25123
Eluvium,25109
Alexandre Desplat,24987
Simple Minds,24913
The Ocean,24885
Stereolab,24842
The Antlers,24834
Ozric Tentacles,24824
This Will Destroy You,24817
Silverstein,24769
Combichrist,24753
Emilie Autumn,24723
Marvin Gaye,24688
James Horner,24601
Cold War Kids,24584
椎名林檎,24572
Mark Ronson,24553
The War on Drugs,24545
Nightmares on Wax,24524
Basement Jaxx,24511
Electric Wizard,24502
Sade,24502
Madeon,24485
DJ Krush,24445
Igorrr,24436
The American Dollar,24428
Los Campesinos!,24423
16 Horsepower,24408
Tom Petty and The Heartbreakers,24407
Strapping Young Lad,24391
Vince Staples,24378
Septicflesh,24356
Amy Macdonald,24354
Switchfoot,24323
Prefuse 73,24307
Sergei Prokofiev,24305
Lou Reed,24259
Royal Blood,24254
P.O.D.,24249
Puscifer,24228
Lostprophets,24220
シートベルツ,24217
Suede,24187
Ingrid Michaelson,24171
Carpenter Brut,24152
Chris Brown,24150
Aqua,24138
INXS,24116
:Wumpscut:,24072
Scar Symmetry,24069
Example,24067
Miley Cyrus,24040
Stereophonics,24029
The Presidents of the United States of America,24026
Immortal,24008
Morbid Angel,24007
King Gizzard & The Lizard Wizard,23967
Ray LaMontagne,23962
Kaizers Orchestra,23939
Jamie xx,23937
Above & Beyond,23936
Big Sean,23921
The Toy Dolls,23888
Nouvelle Vague,23881
Public Enemy,23878
The Dandy Warhols,23869
Angus & Julia Stone,23845
The Rasmus,23825
All Time Low,23704
Boston,23700
Die Toten Hosen,23694
Cynic,23675
Galt Macdermot,23674
CocoRosie,23648
Caspian,23641
Grouper,23634
Darren Korb,23624
Me First and the Gimme Gimmes,23587
Porter Robinson,23561
Delain,23503
Halestorm,23481
Toto,23480
EVE 6,23478
Joni Mitchell,23451
She,23429
Architecture in Helsinki,23406
DIR EN GREY,23394
Jason Mraz,23394
And So I Watch You From Afar,23367
Kansas,23305
The Fray,23283
Steely Dan,23276
Oneohtrix Point Never,23267
Mayday Parade,23240
Odesza,23196
Xiu Xiu,23191
Gamma Ray,23130
Leprous,23107
The B-52's,23102
Gotye,23078
Escape the Fate,23062
Drowning Pool,23026
Rainbow,22957
Secret Garden,22956
Chance the Rapper,22904
Broken Bells,22887
Real Estate,22887
Panda Bear,22860
Laura Marling,22854
Com Truise,22854
Hoobastank,22801
Against Me!,22791
Amaranthe,22787
Delerium,22753
DevilDriver,22708
Lenny Kravitz,22697
Staind,22676
Billie Holiday,22662
Mazzy Star,22637
Propagandhi,22634
The Wombats,22576
Awolnation,22569
The Libertines,22563
µ-Ziq,22536
Mötley Crüe,22519
DVA,22432
The Black Dahlia Murder,22423
Stratovarius,22401
August Burns Red,22390
The Radio Dept.,22361
Deerhoof,22332
Sore Throat,22312
Talk Talk,22301
Janet Jackson,22287
Blackmore's Night,22276
Can,22243
Gary Numan,22236
The Moody Blues,22116
Saosin,22098
Spiritualized,22084
Anamanaguchi,22055
Eddie Vedder,22033
Banks,22024
Satyricon,22010
Monster Magnet,21988
Otis Redding,21983
Sex Pistols,21970
Covenant,21941
The Pineapple Thief,21930
Billy Idol,21919
Sneaker Pimps,21915
Gold Panda,21879
Bee Gees,21874
Hollywood Undead,21866
The Residents,21850
Pig Destroyer,21815
Demi Lovato,21786
The Dead Weather,21784
T. Rex,21783
KT Tunstall,21727
Red,21698
Neal Morse,21674
Courtney Barnett,21628
Nevermore,21568
Erik Satie,21563
Madlib,21563
Sybreed,21560
Theatre of Tragedy,21539
光田康典,21529
Gwen Stefani,21525
Madness,21512
Asking Alexandria,21509
50 Cent,21471
BROCKHAMPTON,21438
Murder By Death,21419
Equilibrium,21411
Bad Brains,21380
Flyleaf,21364
Kalmah,21331
Thursday,21318
Rhapsody,21314
Captain Beefheart & His Magic Band,21314
Thin Lizzy,21313
Down,21304
Refused,21294
Steve Roach,21249
Kavinsky,21241
C418,21229
Dirty Projectors,21226
Hawkwind,21213
Death in June,21177
Our Lady Peace,21172
Kaskade,21163
Claude Debussy,21148
